ScripName,Segment,TradeDate,BuyQty,BuyPrice,RemainingQty,RemainingCost,ClientCode,OrderNo,NumTrades
ADANI ENTERPRISES LTD.,CASH,05/12/2022,10.0,3932.85,10.0,39328.5,105629,Aggregated-2022-12-05,1
ADANI PORTS AND SPECIAL ECONOM,CASH,27/09/2022,5.0,850.0,5.0,4250.0,105629,Aggregated-2022-09-27,1
ADANI PORTS AND SPECIAL ECONOM,CASH,29/09/2022,5.0,840.0,5.0,4200.0,105629,Aggregated-2022-09-29,1
ADANI PORTS AND SPECIAL ECONOM,CASH,12/10/2022,5.0,803.0,5.0,4015.0,105629,Aggregated-2022-10-12,1
ADANI PORTS AND SPECIAL ECONOM,CASH,24/10/2022,2.0,807.0,2.0,1614.0,105629,Aggregated-2022-10-24,1
ADANI PORTS AND SPECIAL ECONOM,CASH,27/01/2023,5.0,604.0,5.0,3020.0,105629,Aggregated-2023-01-27,1
ADANI PORTS AND SPECIAL ECONOM,CASH,08/06/2023,5.0,737.0,5.0,3685.0,105629,Aggregated-2023-06-08,1
ADANI PORTS AND SPECIAL ECONOM,CASH,13/06/2023,3.0,738.0,3.0,2214.0,105629,Aggregated-2023-06-13,1
AXIS BANK LTD.,CASH,21/12/2020,1.0,590.0,1.0,590.0,105629,Aggregated-2020-12-21,1
AXIS BANK LTD.,CASH,29/12/2020,1.0,629.0,1.0,629.0,105629,Aggregated-2020-12-29,1
AXIS BANK LTD.,CASH,11/01/2021,1.0,662.0,1.0,662.0,105629,Aggregated-2021-01-11,1
AXIS BANK LTD.,CASH,16/03/2021,1.0,737.0,1.0,737.0,105629,Aggregated-2021-03-16,1
AXIS BANK LTD.,CASH,17/12/2021,1.0,691.0,1.0,691.0,105629,Aggregated-2021-12-17,1
AXIS BANK LTD.,CASH,20/12/2021,1.0,674.0,1.0,674.0,105629,Aggregated-2021-12-20,1
AXIS BANK LTD.,CASH,06/04/2022,1.0,770.0,1.0,770.0,105629,Aggregated-2022-04-06,1
AXIS BANK LTD.,CASH,14/09/2022,3.0,802.6666666666666,3.0,2408.0,105629,Aggregated-2022-09-14,2
BHARAT ELECTRONICS LTD.,CASH,21/09/2020,5.0,100.0,5.0,500.0,105629,Aggregated-2020-09-21,1
BHARAT ELECTRONICS LTD.,CASH,24/09/2020,15.0,91.0,15.0,1365.0,105629,Aggregated-2020-09-24,3
BHARAT ELECTRONICS LTD.,CASH,25/09/2020,5.0,93.9,5.0,469.5,105629,Aggregated-2020-09-25,1
BHARAT ELECTRONICS LTD.,CASH,10/08/2021,5.0,170.2,5.0,851.0,105629,Aggregated-2021-08-10,1
BHARAT ELECTRONICS LTD.,CASH,01/11/2021,5.0,200.0,5.0,1000.0,105629,Aggregated-2021-11-01,1
BHARAT ELECTRONICS LTD.,CASH,02/11/2021,10.0,203.0,10.0,2030.0,105629,Aggregated-2021-11-02,1
BHARAT ELECTRONICS LTD.,CASH,30/11/2021,5.0,203.0,5.0,1015.0,105629,Aggregated-2021-11-30,1
BHARAT ELECTRONICS LTD.,CASH,20/12/2021,5.0,195.0,5.0,975.0,105629,Aggregated-2021-12-20,1
BHARAT ELECTRONICS LTD.,CASH,25/01/2022,10.0,201.9,10.0,2019.0,105629,Aggregated-2022-01-25,1
BHARAT ELECTRONICS LTD.,CASH,30/03/2022,5.0,210.0,5.0,1050.0,105629,Aggregated-2022-03-30,1
BHARAT ELECTRONICS LTD.,CASH,31/03/2022,5.0,207.5,5.0,1037.5,105629,Aggregated-2022-03-31,1
BHARAT ELECTRONICS LTD.,CASH,12/05/2022,5.0,219.0,5.0,1095.0,105629,Aggregated-2022-05-12,1
BHARAT ELECTRONICS LTD.,CASH,16/05/2022,5.0,226.0,5.0,1130.0,105629,Aggregated-2022-05-16,1
BHARAT ELECTRONICS LTD.,CASH,17/05/2022,5.0,228.0,5.0,1140.0,105629,Aggregated-2022-05-17,1
BHARAT ELECTRONICS LTD.,CASH,18/05/2022,5.0,233.0,5.0,1165.0,105629,Aggregated-2022-05-18,1
BHARAT ELECTRONICS LTD.,CASH,21/06/2022,5.0,230.22999999999996,5.0,1151.1499999999999,105629,Aggregated-2022-06-21,2
BHARAT ELECTRONICS LTD.,CASH,15/07/2022,5.0,241.0,5.0,1205.0,105629,Aggregated-2022-07-15,1
BHARAT ELECTRONICS LTD.,CASH,19/08/2022,5.0,285.0,5.0,1425.0,105629,Aggregated-2022-08-19,1
BHARAT ELECTRONICS LTD.,CASH,26/09/2022,10.0,100.0,10.0,1000.0,105629,Aggregated-2022-09-26,1
BHARAT ELECTRONICS LTD.,CASH,24/10/2022,5.0,104.5,5.0,522.5,105629,Aggregated-2022-10-24,1
BHARTI AIRTEL LTD.,CASH,28/10/2020,2.0,473.5,2.0,947.0,105629,Aggregated-2020-10-28,2
BHARTI AIRTEL LTD.,CASH,14/11/2020,2.0,480.0,2.0,960.0,105629,Aggregated-2020-11-14,1
BHARTI AIRTEL LTD.,CASH,01/03/2021,1.0,530.0,1.0,530.0,105629,Aggregated-2021-03-01,1
BHARTI AIRTEL LTD.,CASH,28/09/2021,2.0,702.0,2.0,1404.0,105629,Aggregated-2021-09-28,1
BHARTI AIRTEL LTD.,CASH,30/09/2021,1.0,690.0,1.0,690.0,105629,Aggregated-2021-09-30,1
BHARTI AIRTEL LTD.,CASH,03/11/2021,1.0,705.0,1.0,705.0,105629,Aggregated-2021-11-03,1
BHARTI AIRTEL LTD.,CASH,04/11/2021,1.0,700.9,1.0,700.9,105629,Aggregated-2021-11-04,1
BHARTI AIRTEL LTD.,CASH,10/12/2021,1.0,710.5,1.0,710.5,105629,Aggregated-2021-12-10,1
BHARTI AIRTEL LTD.,CASH,15/12/2021,1.0,685.0,1.0,685.0,105629,Aggregated-2021-12-15,1
BHARTI AIRTEL LTD.,CASH,17/12/2021,1.0,665.0,1.0,665.0,105629,Aggregated-2021-12-17,1
BHARTI AIRTEL LTD.,CASH,20/12/2021,1.0,658.0,1.0,658.0,105629,Aggregated-2021-12-20,1
BHARTI AIRTEL LTD.,CASH,28/01/2022,1.0,717.2,1.0,717.2,105629,Aggregated-2022-01-28,1
BHARTI AIRTEL LTD.,CASH,12/04/2022,1.0,745.0,1.0,745.0,105629,Aggregated-2022-04-12,1
BHARTI AIRTEL LTD.,CASH,04/05/2022,2.0,725.0,2.0,1450.0,105629,Aggregated-2022-05-04,2
BHARTI AIRTEL LTD.,CASH,16/05/2022,2.0,691.0,2.0,1382.0,105629,Aggregated-2022-05-16,1
BHARTI AIRTEL LTD.,CASH,18/05/2022,1.0,691.0,1.0,691.0,105629,Aggregated-2022-05-18,1
BIRLASOFT LIMITED,CASH,08/07/2020,10.0,96.65,10.0,966.5,105629,Aggregated-2020-07-08,1
BIRLASOFT LIMITED,CASH,11/08/2020,10.0,148.0,10.0,1480.0,105629,Aggregated-2020-08-11,1
BIRLASOFT LIMITED,CASH,31/08/2020,5.0,155.0,5.0,775.0,105629,Aggregated-2020-08-31,1
BIRLASOFT LIMITED,CASH,02/09/2020,3.0,168.0,3.0,504.0,105629,Aggregated-2020-09-02,1
BIRLASOFT LIMITED,CASH,04/09/2020,2.0,168.0,2.0,336.0,105629,Aggregated-2020-09-04,1
BIRLASOFT LIMITED,CASH,01/03/2021,5.0,227.8,5.0,1139.0,105629,Aggregated-2021-03-01,1
BIRLASOFT LIMITED,CASH,28/05/2021,5.0,320.6,5.0,1603.0,105629,Aggregated-2021-05-28,3
BIRLASOFT LIMITED,CASH,01/06/2021,5.0,311.0,5.0,1555.0,105629,Aggregated-2021-06-01,1
BIRLASOFT LIMITED,CASH,02/06/2021,10.0,316.0,10.0,3160.0,105629,Aggregated-2021-06-02,1
BIRLASOFT LIMITED,CASH,03/06/2021,10.0,328.0,10.0,3280.0,105629,Aggregated-2021-06-03,1
BIRLASOFT LIMITED,CASH,04/06/2021,10.0,337.0,10.0,3370.0,105629,Aggregated-2021-06-04,2
BIRLASOFT LIMITED,CASH,11/06/2021,20.0,400.0,20.0,8000.0,105629,Aggregated-2021-06-11,1
BIRLASOFT LIMITED,CASH,14/06/2021,5.0,396.2,5.0,1981.0,105629,Aggregated-2021-06-14,2
BIRLASOFT LIMITED,CASH,07/01/2022,2.0,576.5,2.0,1153.0,105629,Aggregated-2022-01-07,1
BIRLASOFT LIMITED,CASH,20/01/2022,5.0,501.78000000000003,5.0,2508.9,105629,Aggregated-2022-01-20,2
BIRLASOFT LIMITED,CASH,24/01/2022,5.0,445.0,5.0,2225.0,105629,Aggregated-2022-01-24,1
BIRLASOFT LIMITED,CASH,25/01/2022,2.0,460.45,2.0,920.9,105629,Aggregated-2022-01-25,1
BIRLASOFT LIMITED,CASH,28/01/2022,1.0,445.0,1.0,445.0,105629,Aggregated-2022-01-28,1
BIRLASOFT LIMITED,CASH,09/02/2022,2.0,456.0,2.0,912.0,105629,Aggregated-2022-02-09,1
BIRLASOFT LIMITED,CASH,18/04/2022,3.0,437.0,3.0,1311.0,105629,Aggregated-2022-04-18,1
BIRLASOFT LIMITED,CASH,21/04/2022,1.0,422.0,1.0,422.0,105629,Aggregated-2022-04-21,1
BIRLASOFT LIMITED,CASH,25/04/2022,2.0,412.0,2.0,824.0,105629,Aggregated-2022-04-25,1
BIRLASOFT LIMITED,CASH,09/05/2022,2.0,386.0,2.0,772.0,105629,Aggregated-2022-05-09,1
BRITANNIA INDUSTRIES LTD.,CASH,21/07/2020,1.0,3908.0,1.0,3908.0,105629,Aggregated-2020-07-21,1
BRITANNIA INDUSTRIES LTD.,CASH,23/10/2020,1.0,3450.0,1.0,3450.0,105629,Aggregated-2020-10-23,1
BRITANNIA INDUSTRIES LTD.,CASH,31/12/2020,1.0,3571.0,1.0,3571.0,105629,Aggregated-2020-12-31,1
BRITANNIA INDUSTRIES LTD.,CASH,06/01/2021,1.0,3540.0,1.0,3540.0,105629,Aggregated-2021-01-06,1
BRITANNIA INDUSTRIES LTD.,CASH,29/01/2021,1.0,3550.0,1.0,3550.0,105629,Aggregated-2021-01-29,1
BRITANNIA INDUSTRIES LTD.,CASH,28/04/2021,1.0,3490.0,1.0,3490.0,105629,Aggregated-2021-04-28,1
BRITANNIA INDUSTRIES LTD.,CASH,09/09/2022,2.0,3645.075,2.0,7290.15,105629,Aggregated-2022-09-09,2
BRITANNIA INDUSTRIES LTD.,CASH,08/06/2023,1.0,4874.0,1.0,4874.0,105629,Aggregated-2023-06-08,1
BRITANNIA INDUSTRIES LTD.,CASH,14/06/2023,1.0,4962.0,1.0,4962.0,105629,Aggregated-2023-06-14,1
CANARA BANK,CASH,17/12/2021,5.0,202.0,5.0,1010.0,105629,Aggregated-2021-12-17,1
CANARA BANK,CASH,20/12/2021,5.0,190.8,5.0,954.0,105629,Aggregated-2021-12-20,1
CANARA BANK,CASH,22/12/2021,5.0,198.0,5.0,990.0,105629,Aggregated-2021-12-22,1
CANARA BANK,CASH,22/03/2022,10.0,224.5,10.0,2245.0,105629,Aggregated-2022-03-22,1
CANARA BANK,CASH,10/05/2022,5.0,202.0,5.0,1010.0,105629,Aggregated-2022-05-10,1
CANARA BANK,CASH,17/05/2022,3.0,197.0,3.0,591.0,105629,Aggregated-2022-05-17,1
CANARA BANK,CASH,18/05/2022,5.0,199.0,5.0,995.0,105629,Aggregated-2022-05-18,1
CANARA BANK,CASH,18/08/2022,2.0,239.9,2.0,479.8,105629,Aggregated-2022-08-18,1
CANARA BANK,CASH,07/09/2022,1.0,241.0,1.0,241.0,105629,Aggregated-2022-09-07,1
CANARA BANK,CASH,23/09/2022,2.0,229.0,2.0,458.0,105629,Aggregated-2022-09-23,1
CANARA BANK,CASH,06/12/2022,5.0,322.0,5.0,1610.0,105629,Aggregated-2022-12-06,1
CANARA BANK,CASH,12/05/2023,5.0,298.0,5.0,1490.0,105629,Aggregated-2023-05-12,1
CARBORUNDUM UNIVERSAL LTD.,CASH,16/09/2020,5.0,280.0,5.0,1400.0,105629,Aggregated-2020-09-16,1
CARBORUNDUM UNIVERSAL LTD.,CASH,05/10/2021,1.0,879.0,1.0,879.0,105629,Aggregated-2021-10-05,1
CARBORUNDUM UNIVERSAL LTD.,CASH,14/10/2021,1.0,890.0,1.0,890.0,105629,Aggregated-2021-10-14,1
CARBORUNDUM UNIVERSAL LTD.,CASH,25/11/2021,1.0,970.0,1.0,970.0,105629,Aggregated-2021-11-25,1
CARBORUNDUM UNIVERSAL LTD.,CASH,20/12/2021,1.0,878.5,1.0,878.5,105629,Aggregated-2021-12-20,1
CARBORUNDUM UNIVERSAL LTD.,CASH,27/01/2022,1.0,825.0,1.0,825.0,105629,Aggregated-2022-01-27,1
CARBORUNDUM UNIVERSAL LTD.,CASH,11/02/2022,1.0,857.0,1.0,857.0,105629,Aggregated-2022-02-11,1
CARBORUNDUM UNIVERSAL LTD.,CASH,11/03/2022,1.0,780.0,1.0,780.0,105629,Aggregated-2022-03-11,1
CARBORUNDUM UNIVERSAL LTD.,CASH,14/03/2022,1.0,800.0,1.0,800.0,105629,Aggregated-2022-03-14,1
CARBORUNDUM UNIVERSAL LTD.,CASH,19/08/2022,1.0,809.0,1.0,809.0,105629,Aggregated-2022-08-19,1
CARBORUNDUM UNIVERSAL LTD.,CASH,01/09/2022,2.0,840.0,2.0,1680.0,105629,Aggregated-2022-09-01,1
Central Depository Services (India) Limited,CASH,04/09/2020,1.0,460.0,1.0,460.0,105629,Aggregated-2020-09-04,1
Central Depository Services (India) Limited,CASH,08/09/2020,1.0,450.0,1.0,450.0,105629,Aggregated-2020-09-08,1
COAL INDIA LTD.,CASH,26/04/2022,10.0,189.0,10.0,1890.0,105629,Aggregated-2022-04-26,1
COAL INDIA LTD.,CASH,02/05/2022,10.0,187.0,10.0,1870.0,105629,Aggregated-2022-05-02,1
COAL INDIA LTD.,CASH,04/05/2022,10.0,188.0,10.0,1880.0,105629,Aggregated-2022-05-04,3
COAL INDIA LTD.,CASH,10/05/2022,10.0,170.0,10.0,1700.0,105629,Aggregated-2022-05-10,1
COAL INDIA LTD.,CASH,12/09/2022,10.0,231.0,10.0,2310.0,105629,Aggregated-2022-09-12,2
COAL INDIA LTD.,CASH,03/10/2022,5.0,216.0,5.0,1080.0,105629,Aggregated-2022-10-03,1
COAL INDIA LTD.,CASH,14/12/2022,5.0,232.0,5.0,1160.0,105629,Aggregated-2022-12-14,1
Cochin Shipyard Limited,CASH,29/10/2020,5.0,343.0,5.0,1715.0,105629,Aggregated-2020-10-29,1
Cochin Shipyard Limited,CASH,22/03/2022,5.0,300.0,5.0,1500.0,105629,Aggregated-2022-03-22,1
Cochin Shipyard Limited,CASH,26/09/2022,5.0,410.0,5.0,2050.0,105629,Aggregated-2022-09-26,1
Cochin Shipyard Limited,CASH,08/12/2022,5.0,624.0,5.0,3120.0,105629,Aggregated-2022-12-08,1
Cochin Shipyard Limited,CASH,27/01/2023,5.0,475.62999999999994,5.0,2378.1499999999996,105629,Aggregated-2023-01-27,2
Cochin Shipyard Limited,CASH,01/03/2023,5.0,459.0,5.0,2295.0,105629,Aggregated-2023-03-01,1
Cochin Shipyard Limited,CASH,27/03/2023,5.0,419.0,5.0,2095.0,105629,Aggregated-2023-03-27,1
Cochin Shipyard Limited,CASH,22/05/2023,5.0,487.0,5.0,2435.0,105629,Aggregated-2023-05-22,1
COLGATE-PALMOLIVE (INDIA) LTD.,CASH,03/11/2021,1.0,1510.0,1.0,1510.0,105629,Aggregated-2021-11-03,1
COLGATE-PALMOLIVE (INDIA) LTD.,CASH,17/12/2021,1.0,1425.0,1.0,1425.0,105629,Aggregated-2021-12-17,1
COLGATE-PALMOLIVE (INDIA) LTD.,CASH,21/12/2021,1.0,1435.0,1.0,1435.0,105629,Aggregated-2021-12-21,1
COLGATE-PALMOLIVE (INDIA) LTD.,CASH,06/01/2022,1.0,1457.0,1.0,1457.0,105629,Aggregated-2022-01-06,1
COLGATE-PALMOLIVE (INDIA) LTD.,CASH,11/03/2022,1.0,1512.0,1.0,1512.0,105629,Aggregated-2022-03-11,1
COLGATE-PALMOLIVE (INDIA) LTD.,CASH,13/06/2022,1.0,1518.0,1.0,1518.0,105629,Aggregated-2022-06-13,1
COLGATE-PALMOLIVE (INDIA) LTD.,CASH,17/06/2022,1.0,1477.0,1.0,1477.0,105629,Aggregated-2022-06-17,1
COLGATE-PALMOLIVE (INDIA) LTD.,CASH,23/06/2022,1.0,1497.0,1.0,1497.0,105629,Aggregated-2022-06-23,1
COLGATE-PALMOLIVE (INDIA) LTD.,CASH,30/06/2022,1.0,1497.0,1.0,1497.0,105629,Aggregated-2022-06-30,1
COLGATE-PALMOLIVE (INDIA) LTD.,CASH,26/07/2022,1.0,1540.0,1.0,1540.0,105629,Aggregated-2022-07-26,1
COLGATE-PALMOLIVE (INDIA) LTD.,CASH,01/08/2022,1.0,1571.0,1.0,1571.0,105629,Aggregated-2022-08-01,1
