ScripName,Total_Remaining_Shares,Total_Remaining_Cost,Earliest_Purchase,Latest_Purchase,Purchases_Count,Avg_Cost_Per_Share
ADANI ENTERPRISES LTD.,10.0,39328.5,05/12/2022,05/12/2022,1,3932.85
ADANI PORTS AND SPECIAL ECONOM,30.0,22998.0,27/09/2022,13/06/2023,7,766.6
AXIS BANK LTD.,10.0,7161.0,21/12/2020,14/09/2022,8,716.1
BHARAT ELECTRONICS LTD.,125.0,22145.65,21/09/2020,24/10/2022,20,177.17
BHARTI AIRTEL LTD.,21.0,13640.6,28/10/2020,18/05/2022,16,649.55
BIRLASOFT LIMITED,125.0,39643.3,08/07/2020,09/05/2022,23,317.15
BRITANNIA INDUSTRIES LTD.,10.0,38635.15,21/07/2020,14/06/2023,9,3863.52
CANARA BANK,53.0,12073.8,17/12/2021,12/05/2023,12,227.81
CARBORUNDUM UNIVERSAL LTD.,16.0,10768.5,16/09/2020,01/09/2022,11,673.03
COAL INDIA LTD.,60.0,11890.0,26/04/2022,14/12/2022,7,198.17
COLGATE-PALMOLIVE (INDIA) LTD.,12.0,18009.0,03/11/2021,25/08/2022,12,1500.75
CYIENT LIMITED,2.0,1515.0,06/07/2022,03/10/2022,2,757.5
Central Depository Services (India) Limited,2.0,910.0,04/09/2020,08/09/2020,2,455.0
Cochin Shipyard Limited,40.0,17588.15,29/10/2020,22/05/2023,8,439.7
Dixon Technologies (India) Lim,8.0,32865.0,26/08/2022,05/07/2023,4,4108.12
E.I.D.-PARRY (INDIA) LTD.,19.0,9522.5,19/07/2022,30/06/2023,8,501.18
GAIL (INDIA) LTD.,35.0,3837.0,02/11/2020,23/03/2022,3,109.63
GHCL LTD.,25.0,10174.0,23/07/2020,10/05/2023,8,406.96
GODREJ CONSUMER PRODUCTS LTD.,15.0,11476.15,12/10/2020,29/10/2021,11,765.08
GRASIM INDUSTRIES LTD.,6.0,10072.5,02/11/2021,12/08/2022,6,1678.75
Global Health Limited,15.0,6830.0,05/12/2022,14/12/2022,2,455.33
HCL TECHNOLOGIES LTD.,46.0,45751.0,25/08/2020,15/05/2023,37,994.59
HDFC BANK LTD.,10.0,12524.75,29/07/2020,19/05/2022,9,1252.47
HINDUSTAN UNILEVER LTD.,12.0,28183.9,29/12/2021,26/08/2022,11,2348.66
Happiest Minds Technologies Li,122.0,87887.9375,01/10/2020,21/04/2022,51,720.39
Hindustan Aeronautics Limited,5.0,18844.0,22/06/2023,22/06/2023,1,3768.8
ICICI BANK LTD.,52.0,39637.05,20/08/2020,11/07/2023,31,762.25
IDFC FIRST BANK LIMITED,370.0,19912.5,01/02/2021,28/03/2022,21,53.82
